epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.24624,2.5542,3.09162,3.99128,0.39334,0.52969,0.81117,0.65661,0.33978,1.79671,11.2837,2.72432,0.23813,0.00015,0.00015,0.07015
2,10.4119,2.43412,2.5919,3.55281,0.37387,0.65487,1,0.91767,0.47143,1.56842,1.89582,2.52053,0.17277,0.000304535,0.000304535,0.0393045
3,13.6453,2.21078,2.43974,3.41729,0.32931,0.8825,0.91892,0.98833,0.6215,1.14711,1.07157,2.12309,0.12291,0.000457197,0.000457197,0.0084572
4,17.0185,2.12149,2.34363,3.25796,0.32765,0.83598,0.97327,0.97736,0.71038,1.13997,1.06098,2.01134,0.16437,0.000493162,0.000493162,0.000493162
5,20.2405,2.10824,2.24841,3.21588,0.34004,0.83852,0.93435,0.92865,0.66204,1.10704,1.05541,1.99957,0.19682,0.000487886,0.000487886,0.000487886
6,23.4372,2.05706,2.16091,3.12976,0.32738,0.8436,0.91155,0.9212,0.67234,1.0373,1.04625,1.96755,0.21333,0.00048116,0.00048116,0.00048116
7,26.646,1.99445,2.24949,3.02979,0.30934,0.8326,0.91747,0.96722,0.72156,1.0182,1.01511,1.95299,0.22896,0.000473024,0.000473024,0.000473024
8,29.9639,1.99647,2.16357,3.08063,0.30301,0.92073,0.84787,0.98111,0.78107,0.9036,0.96562,1.87616,0.17739,0.000463528,0.000463528,0.000463528
9,33.2188,1.92966,2.16638,3.04193,0.33071,0.94062,0.89761,0.983,0.76441,0.92503,0.91221,1.88496,0.14149,0.000452732,0.000452732,0.000452732
10,36.466,1.86299,2.01447,2.99233,0.28845,0.96848,0.9375,0.97192,0.77629,0.88655,0.90861,1.87334,0.15189,0.0004407,0.0004407,0.0004407
11,39.7188,1.95677,2.11776,2.95459,0.29582,0.96387,0.9375,0.97864,0.76472,0.92538,0.89171,1.83611,0.19695,0.000427509,0.000427509,0.000427509
12,43.056,1.91318,2.01784,2.90762,0.30539,0.9714,1,0.995,0.7845,0.88573,0.78997,1.7787,0.17547,0.000413238,0.000413238,0.000413238
13,46.3757,1.76971,1.9346,2.83577,0.26729,0.96711,0.98956,0.995,0.80492,0.82947,0.77498,1.72211,0.1632,0.000397977,0.000397977,0.000397977
14,49.6917,1.861,1.96044,2.89828,0.29161,0.98647,0.9375,0.97192,0.74155,0.87761,0.82006,1.79633,0.13553,0.000381818,0.000381818,0.000381818
15,52.9688,1.7503,1.86923,2.86617,0.26674,0.98659,0.99219,0.995,0.79173,0.79305,0.72971,1.73108,0.14439,0.000364863,0.000364863,0.000364863
16,56.2533,1.73925,1.812,2.82666,0.25593,0.97956,1,0.995,0.77363,0.76283,0.70256,1.70454,0.12584,0.000347214,0.000347214,0.000347214
17,59.5253,1.70066,1.87653,2.81702,0.27588,0.9883,0.99233,0.995,0.77137,0.74914,0.72759,1.71909,0.1276,0.000328982,0.000328982,0.000328982
18,62.8284,1.71166,1.83533,2.74525,0.26737,0.9792,1,0.995,0.81823,0.72152,0.72706,1.67412,0.11066,0.000310278,0.000310278,0.000310278
19,66.1802,1.75734,1.79091,2.73067,0.27766,0.98944,1,0.995,0.84601,0.69519,0.70872,1.67057,0.1202,0.000291218,0.000291218,0.000291218
20,69.4938,1.74329,1.85584,2.77529,0.26089,0.98793,0.99847,0.995,0.82927,0.68882,0.6991,1.66206,0.13646,0.000271919,0.000271919,0.000271919
21,72.887,1.7118,1.77772,2.73635,0.25565,0.98135,0.99963,0.995,0.83699,0.65856,0.73829,1.64582,0.11095,0.0002525,0.0002525,0.0002525
22,76.1857,1.62689,1.68787,2.63381,0.2322,0.98634,1,0.995,0.85364,0.64594,0.69869,1.63668,0.10404,0.000233081,0.000233081,0.000233081
23,79.5154,1.61786,1.72361,2.65452,0.22028,0.97496,1,0.995,0.85153,0.63381,0.65297,1.61345,0.08461,0.000213782,0.000213782,0.000213782
24,82.8462,1.70021,1.7923,2.70869,0.25222,0.96394,1,0.995,0.8538,0.64842,0.71772,1.61216,0.08895,0.000194722,0.000194722,0.000194722
25,86.1952,1.71918,1.76638,2.71913,0.25772,0.98269,0.98715,0.995,0.83078,0.68199,0.7201,1.64011,0.10808,0.000176018,0.000176018,0.000176018
26,89.4883,1.72179,1.72968,2.7248,0.25526,0.99538,1,0.995,0.83687,0.68221,0.6611,1.64036,0.09167,0.000157786,0.000157786,0.000157786
27,92.837,1.63631,1.63885,2.65751,0.24811,0.9889,0.99764,0.995,0.82739,0.70531,0.6308,1.61888,0.09553,0.000140137,0.000140137,0.000140137
28,96.2491,1.59138,1.63224,2.68336,0.24398,0.9843,0.99822,0.995,0.82886,0.70342,0.62641,1.61674,0.09453,0.000123182,0.000123182,0.000123182
29,99.5533,1.58375,1.66777,2.6024,0.23092,0.98191,0.99566,0.995,0.85076,0.64934,0.62222,1.59899,0.08314,0.000107023,0.000107023,0.000107023
30,102.789,1.56276,1.62382,2.62436,0.22876,0.98961,0.99569,0.995,0.85983,0.60331,0.62909,1.5785,0.07917,9.17616e-05,9.17616e-05,9.17616e-05
31,106.478,1.50789,1.69724,2.5892,0.26915,0.98645,1,0.995,0.85899,0.57635,0.63822,1.56219,0.08049,7.74911e-05,7.74911e-05,7.74911e-05
32,109.74,1.536,1.59721,2.49323,0.27194,0.98213,1,0.995,0.85939,0.59197,0.6571,1.55595,0.09562,6.42995e-05,6.42995e-05,6.42995e-05
