epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.09872,2.30265,2.85385,3.9251,0.34309,0.81605,0.79654,0.93333,0.51205,1.57051,1.66281,2.43844,0.20515,0.00015,0.00015,0.07015
2,10.3203,1.96562,2.29219,3.16131,0.31895,0.87149,0.81472,0.92467,0.54477,1.30292,1.16565,2.1556,0.17236,0.000304535,0.000304535,0.0393045
3,13.6323,1.84738,1.79427,2.8907,0.27885,0.90954,0.86493,0.93467,0.59791,1.13358,1.111,2.06203,0.12821,0.000457197,0.000457197,0.0084572
4,16.8832,1.72218,1.73395,2.76789,0.26543,0.93237,0.9375,0.94449,0.65973,1.1477,1.00233,2.23595,0.14235,0.000493162,0.000493162,0.000493162
5,20.1379,1.69489,1.61191,2.66607,0.27368,0.93783,0.90279,0.95625,0.75277,0.89152,0.87893,2.02728,0.17471,0.000487886,0.000487886,0.000487886
6,23.4064,1.60148,1.55092,2.72082,0.25206,0.95771,0.86442,0.96236,0.72751,0.96885,0.80058,2.09517,0.17642,0.00048116,0.00048116,0.00048116
7,26.6442,1.58865,1.51154,2.51905,0.23089,0.89908,0.9375,0.97925,0.76959,0.90154,0.79798,1.9934,0.16986,0.000473024,0.000473024,0.000473024
8,29.9997,1.5712,1.45214,2.55612,0.23931,0.95395,0.94587,0.995,0.79465,0.76983,0.73042,1.85455,0.1251,0.000463528,0.000463528,0.000463528
9,33.3021,1.50557,1.50179,2.56392,0.22363,0.9279,0.97761,0.995,0.80905,0.83571,0.76454,1.91953,0.1197,0.000452732,0.000452732,0.000452732
10,36.5969,1.44156,1.3579,2.43206,0.18117,0.99441,0.9999,0.995,0.8402,0.69945,0.63961,1.76958,0.12124,0.0004407,0.0004407,0.0004407
11,39.9072,1.41035,1.36439,2.41428,0.16391,0.98357,0.99372,0.995,0.84559,0.67856,0.64593,1.74255,0.13279,0.000427509,0.000427509,0.000427509
12,43.2239,1.34253,1.29699,2.39947,0.17206,0.98948,1,0.995,0.84322,0.66635,0.56437,1.71405,0.1271,0.000413238,0.000413238,0.000413238
13,46.4932,1.36011,1.28369,2.35076,0.16889,0.97528,0.99571,0.995,0.87055,0.63656,0.57504,1.68535,0.1294,0.000397977,0.000397977,0.000397977
14,49.8549,1.33188,1.27747,2.30518,0.16514,0.97795,0.99491,0.995,0.85755,0.63382,0.57341,1.67171,0.13143,0.000381818,0.000381818,0.000381818
15,53.2191,1.27677,1.16789,2.28736,0.14845,0.98878,1,0.995,0.86315,0.61814,0.57977,1.67111,0.12696,0.000364863,0.000364863,0.000364863
16,56.5044,1.27572,1.20742,2.24304,0.14075,0.98364,1,0.995,0.87046,0.6229,0.58823,1.69479,0.12227,0.000347214,0.000347214,0.000347214
17,59.8012,1.24365,1.17348,2.27984,0.14768,0.98787,1,0.995,0.87984,0.55236,0.56572,1.63875,0.12391,0.000328982,0.000328982,0.000328982
18,63.1798,1.21989,1.10381,2.21698,0.14469,0.98737,1,0.995,0.89335,0.59438,0.53528,1.65739,0.12687,0.000310278,0.000310278,0.000310278
19,66.5526,1.29592,1.10524,2.2144,0.14349,0.99313,1,0.995,0.88238,0.58511,0.54194,1.62649,0.14009,0.000291218,0.000291218,0.000291218
20,69.8295,1.1932,1.11626,2.17009,0.13663,0.98312,0.99723,0.995,0.87835,0.57444,0.53893,1.61814,0.12992,0.000271919,0.000271919,0.000271919
21,73.1998,1.17282,1.06329,2.20386,0.12447,0.98202,1,0.995,0.88975,0.54745,0.51213,1.60807,0.11099,0.0002525,0.0002525,0.0002525
22,76.4892,1.14764,1.04526,2.10626,0.11999,0.98909,1,0.995,0.89235,0.53673,0.49691,1.58987,0.10783,0.000233081,0.000233081,0.000233081
23,79.7284,1.14097,1.06051,2.17175,0.1337,0.9935,1,0.995,0.9015,0.5131,0.50511,1.55885,0.10654,0.000213782,0.000213782,0.000213782
24,83.0354,1.1318,1.05454,2.0801,0.10707,0.99214,1,0.995,0.88162,0.51837,0.51252,1.53735,0.11305,0.000194722,0.000194722,0.000194722
25,86.2771,1.05209,1.10445,2.10619,0.10812,0.9938,1,0.995,0.90119,0.51844,0.51378,1.51125,0.11446,0.000176018,0.000176018,0.000176018
26,89.5342,1.05907,1.04844,2.0935,0.12379,0.98954,0.99535,0.995,0.89845,0.52508,0.50535,1.50724,0.11664,0.000157786,0.000157786,0.000157786
27,92.798,1.02559,1.00936,2.01536,0.10927,0.99486,1,0.995,0.88824,0.51462,0.49164,1.51479,0.1203,0.000140137,0.000140137,0.000140137
28,96.1859,1.05713,0.98857,2.01263,0.10368,0.9937,1,0.995,0.89052,0.49984,0.49152,1.51695,0.12009,0.000123182,0.000123182,0.000123182
29,99.4587,1.05685,1.06535,2.06709,0.11238,0.99334,1,0.995,0.89168,0.47508,0.49176,1.50606,0.11574,0.000107023,0.000107023,0.000107023
30,102.701,1.01333,1.02474,2.04584,0.09884,0.99207,1,0.995,0.90843,0.47124,0.48271,1.50444,0.11131,9.17616e-05,9.17616e-05,9.17616e-05
31,106.014,1.00295,0.97338,2.02214,0.10025,0.99213,1,0.995,0.89701,0.48733,0.47866,1.51216,0.10863,7.74911e-05,7.74911e-05,7.74911e-05
32,109.295,0.9638,0.94884,2.06222,0.10372,0.99312,1,0.995,0.8956,0.49507,0.47656,1.52502,0.10715,6.42995e-05,6.42995e-05,6.42995e-05
33,112.582,0.99708,1.01107,2.02032,0.09693,0.99109,1,0.995,0.90104,0.49046,0.49659,1.5263,0.10784,5.22683e-05,5.22683e-05,5.22683e-05
34,115.862,0.95426,0.96605,2.03308,0.0974,0.98907,1,0.995,0.8941,0.49118,0.50212,1.52067,0.10608,4.14716e-05,4.14716e-05,4.14716e-05
35,119.229,0.94837,0.98037,2.01795,0.09538,0.99081,1,0.995,0.8956,0.48976,0.50089,1.51574,0.10677,3.19759e-05,3.19759e-05,3.19759e-05
36,122.544,0.92297,0.93004,1.98064,0.08668,0.99292,1,0.995,0.89879,0.49222,0.50021,1.50915,0.10729,2.38398e-05,2.38398e-05,2.38398e-05
37,125.808,0.96786,0.97357,2.00593,0.09232,0.99335,1,0.995,0.89879,0.49426,0.49994,1.50636,0.10855,1.71135e-05,1.71135e-05,1.71135e-05
38,129.093,0.98959,0.93777,1.9775,0.08195,0.99348,1,0.995,0.89879,0.49074,0.49659,1.50476,0.10586,1.18384e-05,1.18384e-05,1.18384e-05
39,132.382,0.90973,0.93539,1.98883,0.08735,0.99345,1,0.995,0.89829,0.48804,0.49766,1.502,0.10622,8.04714e-06,8.04714e-06,8.04714e-06
40,135.679,0.97218,0.92258,2.00538,0.09965,0.99357,1,0.995,0.9051,0.48897,0.49663,1.50372,0.10541,5.76296e-06,5.76296e-06,5.76296e-06
