epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,5.71391,2.01064,5.36475,4.29879,0.22277,0.21527,0.28814,0.18954,0.08937,1.42783,4.39644,3.48075,0.17043,0.00025,0.00025,0.07525
2,11.3231,1.66327,3.98434,3.60732,0.21406,0.29591,0.32203,0.22862,0.14698,1.30694,3.55955,3.29932,0.16245,0.000509222,0.000509222,0.0495092
3,15.5265,1.53034,3.12303,3.45334,0.25741,0.26956,0.31356,0.25065,0.16735,1.55622,2.49982,3.67429,0.20312,0.000765307,0.000765307,0.0237653
4,19.7563,1.41139,2.73123,3.12052,0.22548,0.28849,0.32367,0.28295,0.18272,1.4468,2.24566,3.38242,0.21091,0.000986323,0.000986323,0.000986323
5,24.4056,1.40749,2.74601,3.03492,0.24263,0.35881,0.30156,0.32443,0.21298,1.35531,2.07127,3.14976,0.19543,0.000975773,0.000975773,0.000975773
6,28.9317,1.26414,2.31501,2.79911,0.21551,0.3122,0.35223,0.3676,0.25341,1.22462,1.97042,2.93577,0.18686,0.00096232,0.00096232,0.00096232
7,33.3392,1.20681,2.1809,2.77772,0.19722,0.34512,0.48594,0.43531,0.30389,1.04879,1.87375,2.70782,0.16861,0.000946048,0.000946048,0.000946048
8,37.4952,1.18711,2.0466,2.77955,0.22134,0.40126,0.54834,0.47979,0.34304,0.98653,1.75134,2.53962,0.14972,0.000927057,0.000927057,0.000927057
9,41.5871,1.13023,1.91516,2.75338,0.19322,0.40126,0.54834,0.47979,0.34304,0.98653,1.75134,2.53962,0.14972,0.000905463,0.000905463,0.000905463
10,45.6986,1.10005,1.73585,2.65068,0.21612,0.4282,0.62789,0.54929,0.38595,0.93588,1.61217,2.37209,0.15012,0.000881401,0.000881401,0.000881401
11,49.8503,0.98094,1.62234,2.44918,0.18386,0.49055,0.63925,0.58349,0.42969,0.91182,1.45881,2.22515,0.15915,0.000855018,0.000855018,0.000855018
12,53.983,0.91074,1.53243,2.17788,0.19665,0.53552,0.66198,0.61332,0.47725,0.82894,1.33325,2.04942,0.15139,0.000826477,0.000826477,0.000826477
13,58.1379,0.94643,1.3598,2.33035,0.17843,0.51161,0.71166,0.63245,0.50493,0.81488,1.2249,1.99305,0.14895,0.000795954,0.000795954,0.000795954
14,62.2377,0.88754,1.26407,2.05204,0.18724,0.51161,0.71166,0.63245,0.50493,0.81488,1.2249,1.99305,0.14895,0.000763637,0.000763637,0.000763637
15,66.3735,0.89135,1.19303,2.02721,0.18433,0.58642,0.76714,0.67973,0.55285,0.77245,1.08131,1.90955,0.14031,0.000729725,0.000729725,0.000729725
16,70.6831,0.86901,1.16344,2.07819,0.15942,0.69008,0.71899,0.78457,0.63989,0.7431,0.97336,1.83449,0.12594,0.000694428,0.000694428,0.000694428
17,74.9291,0.78262,1.06844,1.83679,0.12893,0.68471,0.73035,0.80615,0.63688,0.75204,0.99376,1.80596,0.13567,0.000657963,0.000657963,0.000657963
18,79.1183,0.87659,1.10879,2.02856,0.16706,0.70194,0.83074,0.83421,0.67845,0.7193,0.973,1.78028,0.1204,0.000620555,0.000620555,0.000620555
19,83.5309,0.82336,1.00193,1.94218,0.15221,0.70194,0.83074,0.83421,0.67845,0.7193,0.973,1.78028,0.1204,0.000582435,0.000582435,0.000582435
20,87.8837,0.68991,0.90541,1.75431,0.12839,0.67546,0.86653,0.85877,0.7107,0.6937,0.9573,1.76976,0.10467,0.000543837,0.000543837,0.000543837
21,92.1963,0.73278,0.89836,1.89394,0.12616,0.83634,0.7509,0.877,0.72727,0.68769,0.93337,1.74647,0.10656,0.000505,0.000505,0.000505
22,96.6281,0.68767,0.84389,1.81226,0.11481,0.94763,0.78698,0.90838,0.76934,0.60487,1.04046,1.63886,0.0994,0.000466163,0.000466163,0.000466163
23,100.921,0.70379,0.81869,1.78113,0.13205,0.93666,0.79834,0.91557,0.78218,0.57055,1.0124,1.59511,0.09659,0.000427565,0.000427565,0.000427565
24,105.158,0.64999,0.80346,1.82337,0.1149,0.94345,0.80051,0.92458,0.79194,0.56989,0.92273,1.58793,0.09441,0.000389445,0.000389445,0.000389445
25,109.509,0.66598,0.79364,1.77608,0.12307,0.94345,0.80051,0.92458,0.79194,0.56989,0.92273,1.58793,0.09441,0.000352037,0.000352037,0.000352037
26,114.056,0.63341,0.78986,1.80975,0.10653,0.94957,0.78698,0.9373,0.80548,0.54263,0.90271,1.54984,0.08615,0.000315572,0.000315572,0.000315572
27,118.246,0.59135,0.72987,1.62427,0.10525,0.94989,0.82414,0.95974,0.83205,0.53585,1.01281,1.53153,0.08455,0.000280275,0.000280275,0.000280275
28,122.378,0.55958,0.70453,1.65141,0.10063,0.94956,0.84858,0.97347,0.83975,0.53377,1.06451,1.52372,0.08597,0.000246363,0.000246363,0.000246363
